Date,Open,High,Low,Close,Volume,Adj Close
1997-06-09,281.99,288.00,281.99,287.65,000,287.65
1997-06-02,279.16,282.28,279.01,281.99,000,281.99
1997-05-27,275.60,279.17,274.05,279.16,000,279.16
1997-05-19,269.44,275.60,268.36,275.60,000,275.60
1997-05-12,267.76,271.02,267.76,269.44,000,269.44
1997-05-05,263.83,269.28,263.83,267.76,000,267.76
1997-04-28,248.04,263.99,247.27,263.83,000,263.83
1997-04-21,251.92,252.92,247.42,248.04,000,248.04
1997-04-14,248.94,253.59,247.36,251.92,000,251.92
1997-04-07,252.06,256.96,248.89,248.94,000,248.94
1997-03-31,257.76,257.78,247.48,252.06,000,252.06
1997-03-24,259.92,261.90,257.09,257.76,000,257.76
1997-03-17,264.27,264.27,257.71,259.92,000,259.92
1997-03-10,266.42,268.25,263.04,264.27,000,264.27
1997-03-03,262.36,267.01,261.52,266.42,000,266.42
1997-02-24,265.05,268.42,261.32,262.36,000,262.36
1997-02-18,269.05,269.79,264.68,265.05,000,265.05
1997-02-10,264.02,269.28,261.37,269.05,000,269.05
1997-02-03,264.89,265.26,261.09,264.02,000,264.02
1997-01-27,262.63,265.93,260.60,264.89,000,264.89
1997-01-20,264.74,268.59,262.13,262.63,000,262.63
1997-01-13,261.22,264.74,259.95,264.74,000,264.74
1997-01-06,255.67,261.23,255.67,261.22,000,261.22
1996-12-30,254.75,255.70,251.13,255.67,000,255.67
